"","observed_ev","Root","Means","Percentile"
"1",15.5464443401263,1,1.574798,1.633146
"2",6.07010077399221,2,1.518496,1.559414
"3",3.02150466681897,3,1.474845,1.508177
"4",2.00799597629169,4,1.439384,1.474861
"5",1.76793924396428,5,1.407714,1.436193
"6",1.4593286683384,6,1.379047,1.410655
"7",1.3778156230355,7,1.348905,1.381205
"8",1.21510141964973,8,1.322506,1.34722
"9",1.00945023668369,9,1.298288,1.319829
"10",0.998252338084021,10,1.271938,1.296358
"11",0.809117344669493,11,1.249952,1.272519
"12",0.792834082395688,12,1.227409,1.248755
"13",0.750081648467685,13,1.205695,1.224794
"14",0.716912327695665,14,1.182856,1.204474
"15",0.676888750814658,15,1.161339,1.179274
"16",0.637277460024313,16,1.143205,1.164925
"17",0.603183334954197,17,1.121141,1.140788
"18",0.584494637965101,18,1.102723,1.121087
"19",0.55647428898331,19,1.084486,1.102303
"20",0.547943892219896,20,1.064636,1.082099
"21",0.53050001032996,21,1.045134,1.061055
"22",0.516028437380052,22,1.02856,1.045675
"23",0.481644395937059,23,1.008799,1.025988
"24",0.433611707366587,24,0.992947,1.011939
"25",0.420043300188813,25,0.976972,0.993225
"26",0.400152766137191,26,0.959012,0.975748
"27",0.382804252552212,27,0.941312,0.958075
"28",0.373403346905195,28,0.924345,0.943241
"29",0.352089338991053,29,0.907499,0.922356
"30",0.344433144235427,30,0.891305,0.907669
"31",0.333391030089192,31,0.874566,0.889805
"32",0.325646133940394,32,0.857677,0.872439
"33",0.30468584498754,33,0.841764,0.855712
"34",0.277066955033398,34,0.827332,0.843852
"35",0.271898048122744,35,0.81023,0.826924
"36",0.248417086741343,36,0.793104,0.808743
"37",0.237980012577972,37,0.775746,0.791569
"38",0.221323048526679,38,0.760117,0.77522
"39",0.19745735950399,39,0.744951,0.762082
"40",0.185977652608409,40,0.728271,0.743766
"41",0.173562110949868,41,0.711507,0.727768
"42",0.159381247001516,42,0.695779,0.715232
"43",0.147075700191431,43,0.677625,0.696692
"44",0.13534797372822,44,0.659781,0.682517
"45",0.121458716867616,45,0.640481,0.656576
"46",0.105949439049093,46,0.620556,0.636465
"47",0.0608529987741013,47,0.600253,0.620876
"48",0.0560121135535716,48,0.576708,0.600466
"49",0.0526647725545199,49,0.548304,0.574491
